CVE-2003-0727|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-3608|allowedAction({attacker,remote},create,{certain,file}) 
CVE-2007-3609|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3610|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3611|
CVE-2007-3612|
CVE-2007-3621|
CVE-2007-3630|allowedAction({attacker,remote},change,{password}) 
CVE-2007-3631|allowedAction({attacker,remote},execute,{sql,command,related,arbitrary}) 
CVE-2007-3632|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-3633|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2007-3649|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2007-3655|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3656|allowedAction({attacker,remote},obtain,{sensitive,information}) 
CVE-2007-3681|allowedAction({local,user},overwrite,{memory}) allowedAction({local,user},execute,{code,arbitrary}) 
CVE-2007-3682|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3687|
CVE-2007-3697|
CVE-2007-3698|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-3702|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-3703|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3717|allowedAction({local,user},gain,{privilege}) 
CVE-2007-3731|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-3734|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-3735|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-3736|allowedAction({attacker,remote},inject,{web,arbitrary,script}) 
CVE-2007-3737|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3738|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3739|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-3740|allowedAction({local,user},gain,{privilege}) 
CVE-2007-3741|allowedAction({attacker,remote,user-assisted},cause,{denial,service}) 
CVE-2007-3752|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3772|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-3780|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-3781|
CVE-2007-3782|
CVE-2007-3790|allowedAction({attacker,context-dependent},cause,{denial,service}) 
CVE-2007-3798|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3799|allowedAction({attacker,remote},insert,{attribute,arbitrary}) 
CVE-2007-3806|allowedAction({attacker,context-dependent},cause,{denial,service}) allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-3808|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3809|
CVE-2007-3810|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3811|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3812|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3813|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-3814|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) allowedAction({attacker,remote},execute,{function,del_file}) 
CVE-2007-3820|allowedAction({attacker,remote},spoof,{datum}) 
CVE-2007-3826|
CVE-2007-3840|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3843|allowedAction({attacker,remote},spoof,{traffic,cif,network}) 
CVE-2007-3844|
CVE-2007-3847|allowedAction({origin,remote,server},cause,{denial,service}) 
CVE-2007-3848|allowedAction({local,user},send,{signal,arbitrary}) 
CVE-2007-3849|allowedAction({attacker,context-dependent},bypass,{integrity,check,file}) allowedAction({attacker,context-dependent},modify,{certain,file}) 
CVE-2007-3850|allowedAction({local,user},read,{portion,address,physical,space}) 
CVE-2007-3851|allowedAction({local,user},gain,{privilege}) 
CVE-2007-3876|allowedAction({local,user},execute,{code,arbitrary}) 
CVE-2007-3881|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3882|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3883|allowedAction({attacker,remote},create,{file}) 
CVE-2007-3889|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3890|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3891|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3892|allowedAction({attacker,remote},spoof,{url,bar,address}) allowedAction({attacker,remote},spoof,{component,trust,ui,other}) 
CVE-2007-3893|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3895|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3896|allowedAction({attacker,remote},execute,{program,arbitrary}) allowedAction({attacker,remote},execute,{sequence}) allowedAction({attacker,remote},execute,{handler,other,URI}) 
CVE-2007-3897|allowedAction({Protocol,remote,Network,transfer,server,News},execute,{code,arbitrary}) 
CVE-2007-3898|allowedAction({attacker,remote},spoof,{reply,dns}) allowedAction({attacker,remote},facilitate,{further,attack,vector}) 
CVE-2007-3899|allowedAction({user-assisted,remote,attacker},execute,{vulnerability,arbitrary}) 
CVE-2007-3901|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3902|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3903|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3919|allowedAction({local,user},truncate,{file,arbitrary}) 
CVE-2007-3920|allowedAction({attacker},take,{control,session}) 
CVE-2007-3922|allowedAction({attacker,remote},violate,{security,model}) 
CVE-2007-3932|allowedAction({attacker,remote},upload,{code,PHP,arbitrary}) 
CVE-2007-3933|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3934|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-3935|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-3936|allowedAction({attacker,remote},delete,{file,arbitrary}) 
CVE-2007-3937|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-3938|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3939|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-3955|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3956|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-3957|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-3958|allowedAction({attacker,remote,user-assisted},cause,{denial,service}) 
CVE-2007-3973|allowedAction({attacker,remote},inject,{web,arbitrary,script}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2007-3974|allowedAction({attacker,remote},create,{account,arbitrary}) 
CVE-2007-3976|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-3977|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2007-3978|allowedAction({attacker,remote},hijack,{web,session}) 
CVE-2007-3979|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-3980|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-3981|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-3982|
CVE-2007-3984|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-3996|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-3997|allowedAction({attacker,remote},bypass,{restriction,safe_mode,open_basedir}) 
CVE-2007-3998|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-3999|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4000|
CVE-2007-4005|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4007|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4008|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-4009|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4010|allowedAction({attacker,remote},execute,{command,arbitrary}) 
CVE-2007-4029|allowedAction({attacker,context-dependent},cause,{denial,service}) allowedAction({attacker,context-dependent},cause,{blocksize,invalid}) 
CVE-2007-4031|allowedAction({attacker,remote},delete,{file,arbitrary}) 
CVE-2007-4032|allowedAction({attacker,remote,user-assisted},execute,{code,arbitrary}) 
CVE-2007-4033|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-4045|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-4046|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4053|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4054|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4055|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4056|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4057|allowedAction({authenticate,remote,user},upload,{code,PHP,arbitrary}) 
CVE-2007-4058|allowedAction({attacker,remote},execute,{program,local,arbitrary}) 
CVE-2007-4059|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2007-4060|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4061|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2007-4065|allowedAction({attacker,context-dependent},cause,{denial,service}) 
CVE-2007-4066|
CVE-2007-4067|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2007-4068|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4069|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4070|allowedAction({local,user},read,{file,arbitrary}) 
CVE-2007-4125|allowedAction({attacker,remote},cause,{denial,service,unspecified}) 
CVE-2007-4126|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-4128|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4129|allowedAction({local,user},overwrite,{file,arbitrary}) 
CVE-2007-4130|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-4131|allowedAction({user-assisted,remote,attacker},overwrite,{file,arbitrary}) 
CVE-2007-4133|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-4134|allowedAction({user-assisted,remote,attacker},overwrite,{file,arbitrary}) 
CVE-2007-4136|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-4137|allowedAction({attacker,context-dependent},cause,{denial,service}) 
CVE-2007-4140|allowedAction({attacker,remote,user-assisted},execute,{code,arbitrary}) 
CVE-2007-4155|allowedAction({attacker,remote},execute,{program,local,arbitrary}) 
CVE-2007-4156|
CVE-2007-4179|allowedAction({local,user},cause,{denial,unspecified,service}) 
CVE-2007-4183|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4211|
CVE-2007-4224|allowedAction({attacker,remote},spoof,{url,bar,address}) 
CVE-2007-4231|
CVE-2007-4232|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4252|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2007-4253|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4254|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4255|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-4256|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-4257|allowedAction({user-assisted,remote,attacker},execute,{code,arbitrary}) 
CVE-2007-4258|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4263|
CVE-2007-4285|allowedAction({attacker,remote},obtain,{information,sensitive}) 
CVE-2007-4286|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-4287|
CVE-2007-4291|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-4292|
CVE-2007-4293|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-4294|allowedAction({attacker,remote},execute,{cscsi80102,arbitrary}) 
CVE-2007-4295|allowedAction({attacker,remote},execute,{cscsi80749,arbitrary}) 
CVE-2007-4308|allowedAction({local,user},cause,{privilege,denial,gain,service}) 
CVE-2007-4312|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4313|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4314|allowedAction({attacker,remote},trigger,{reading,file}) allowedAction({attacker,remote},trigger,{image,processing,jpeg}) 
CVE-2007-4320|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4324|allowedAction({attacker,remote},bypass,{Sandbox,Model,security}) 
CVE-2007-4336|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4351|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-4352|allowedAction({attacker,remote},trigger,{corruption,memory}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4366|
CVE-2007-4368|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4369|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-4370|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4381|allowedAction({attacker,remote},perform,{action,unauthorized}) 
CVE-2007-4382|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-4386|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4392|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-4395|
CVE-2007-4420|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2007-4439|
CVE-2007-4440|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4441|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-4456|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4465|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2007-4474|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4489|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4502|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4503|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4504|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-4505|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4506|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4507|
CVE-2007-4509|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4513|allowedAction({local,user},gain,{privilege}) 
CVE-2007-4524|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4528|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-4565|allowedAction({attacker,context-dependent},cause,{denial,service}) 
CVE-2007-4567|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-4568|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-4569|allowedAction({attacker,remote},bypass,{requirement,password}) allowedAction({attacker,remote},bypass,{login}) 
CVE-2007-4570|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-4571|allowedAction({local,user},obtain,{information,sensitive}) 
CVE-2007-4572|allowedAction({attacker,remote},have,{impact,unknown}) 
CVE-2007-4573|allowedAction({local,user},gain,{privilege}) 
CVE-2007-4574|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-4575|allowedAction({attacker,remote,user-assisted},execute,{code,Java,arbitrary}) 
CVE-2007-4581|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4582|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4583|allowedAction({attacker,remote},create,{file,arbitrary}) allowedAction({attacker,remote},delete,{arbitrary}) 
CVE-2007-4584|
CVE-2007-4585|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-4586|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-4596|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-4597|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4602|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4603|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4604|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4605|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4606|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4607|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4619|allowedAction({user-assisted,remote,attacker},execute,{code,arbitrary}) 
CVE-2007-4623|allowedAction({local,user},execute,{code,arbitrary}) 
CVE-2007-4627|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4628|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4632|allowedAction({attacker,remote},bypass,{authentication}) allowedAction({attacker,remote},obtain,{terminal,session}) 
CVE-2007-4636|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4637|allowedAction({attacker,remote},make,{change,unspecified}) 
CVE-2007-4640|allowedAction({attacker,remote},upload,{PHP,file,arbitrary}) 
CVE-2007-4641|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-4645|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4646|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4647|allowedAction({attacker,remote},upload,{certain,file}) 
CVE-2007-4653|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4658|
CVE-2007-4712|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4714|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4715|
CVE-2007-4722|
CVE-2007-4726|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-4730|allowedAction({local,user},execute,{code,arbitrary}) 
CVE-2007-4732|allowedAction({local,user},cause,{denial,service}) 
CVE-2007-4734|allowedAction({attacker,remote,user-assisted},execute,{code,arbitrary}) 
CVE-2007-4735|allowedAction({user-assisted,remote,attacker},execute,{code,arbitrary}) 
CVE-2007-4736|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4737|
CVE-2007-4743|allowedAction({attacker,remote},conduct,{buffer,overflow,attack}) 
CVE-2007-4744|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4748|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4752|allowedAction({attacker},violate,{policy,intended}) allowedAction({attacker},violate,{privilege,gain}) 
CVE-2007-4757|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4763|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4768|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-4769|
CVE-2007-4770|
CVE-2007-4771|allowedAction({attacker,context-dependent},cause,{denial,service}) allowedAction({attacker,context-dependent},have,{impact,other,unspecified}) 
CVE-2007-4772|allowedAction({attacker,context-dependent},cause,{denial,service}) 
CVE-2007-4776|
CVE-2007-4781|
CVE-2007-4782|allowedAction({attacker,context-dependent},cause,{denial,service}) 
CVE-2007-4790|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4802|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4803|allowedAction({attacker,remote,user-assisted},execute,{code,arbitrary}) 
CVE-2007-4804|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4805|
CVE-2007-4806|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4807|
CVE-2007-4808|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) allowedAction({attacker,remote},execute,{parameter,id_sujet}) 
CVE-2007-4809|
CVE-2007-4814|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4815|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) allowedAction({attacker,remote},execute,{post.php}) allowedAction({attacker,remote},execute,{viewitem.php}) 
CVE-2007-4816|allowedAction({attacker,remote},have,{impact,unknown}) allowedAction({attacker,remote},have,{a}) 
CVE-2007-4817|allowedAction({attacker,remote},upload,{code,PHP,arbitrary}) 
CVE-2007-4818|
CVE-2007-4819|allowedAction({attacker,remote},inject,{web,arbitrary,script}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2007-4820|allowedAction({attacker,remote},read,{local,file,arbitrary}) allowedAction({attacker,remote},execute,{PHP,local,script}) 
CVE-2007-4821|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4829|allowedAction({attacker,remote,user-assisted},overwrite,{file,arbitrary}) 
CVE-2007-4834|
CVE-2007-4845|
CVE-2007-4846|
CVE-2007-4886|
CVE-2007-4887|allowedAction({attacker,context-dependent},cause,{denial,service}) 
CVE-2007-4890|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2007-4891|
CVE-2007-4895|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-4897|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-4902|
CVE-2007-4903|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2007-4905|allowedAction({attacker,remote},upload,{PHP,file,arbitrary}) 
CVE-2007-4906|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4907|
CVE-2007-4908|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2007-4911|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-4915|allowedAction({attacker,remote},change,{admin,password}) 
CVE-2007-4918|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4919|
CVE-2007-4920|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4921|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4922|
CVE-2007-4923|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4924|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2007-4932|allowedAction({attacker,remote},access,{admin,panel}) 
CVE-2007-4933|allowedAction({attacker,remote},inject,{code,PHP}) allowedAction({attacker,remote},inject,{colscount}) 
CVE-2007-4934|
CVE-2007-4952|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4953|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4954|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4955|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2007-4956|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2007-4957|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2007-4965|allowedAction({attacker,context-dependent},cause,{denial,service}) allowedAction({attacker,context-dependent},obtain,{information,sensitive}) 
CVE-2007-4978|
CVE-2007-4979|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4982|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2007-4983|allowedAction({attacker,remote},create,{local,file,arbitrary}) 
CVE-2007-4984|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2007-4985|
CVE-2007-4986|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-4988|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-4990|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2007-4993|allowedAction({local,user},execute,{command,arbitrary}) 
